name,In Nepali,meaning
Arti ,आरती,"Arti is a Hindu religious ritual of worship, a part of puja, in which light from wicks soaked in ghee (purified butter"
Arudhya ,अरुध्य,"In Sanskrit, it means ""First one"" or ""one worth worshiping"". "
Aruni ,अरुणि,Dawn(बिहानी
Ashma ,अश्मा,"Strength; Rock, Mountain of Rocks"
Ashmi ,आश्मी,Brave and Strong
Ashna ,अशना,"Friend(साथी, संगिनी, जीवन साथी"
Ashrina , अश्रिना,Royalty
Asita The river Yamuna,Yamuna भन्ने नेपालको खोला,
Aslisa ,अस्लिसा,no meaning yet
Asmita ,अस्मिता,Pride
Avishek ,अविशेक,"In Nepalese, Avishek means ""Holy water"". "
Ayesha ,आयेशा,Wife of the Prophet
Ayushma ,आयुष्मा,Long and Healthy life; Long Lived; Offering; Divine beauty
Elshika ,एल्शिका,no meaning yet
"Eshika An arrow, dart",तिर,
Eshmita ,एश्मिता,no meaning yet
Etisha ,"एतिषा, एतिशा",Beginning after the End; Assets; Wealth
Eurika ,यूरिका,"A cry of joy or satisfaction when one finds or discovers something; Miracle
"
Evani ,इवानी,Please advise us the meaning of this name(कृपयायो नामको अर्थ हलिदिनुहोला !
Gaurab ,गौरब,Pride
Gauri A fair woman; parvati,शिवजीको श्रीमतीको Nickname,
"Gayatri Mother of the Vedas, a goddess",Vedas भन्ने मान्छेको आमा,
Geeta Holy book of the Hindus,भगवान कृष्णले लेखेको नैतिक किताब,
Geetika; Gitika A little song,छोटो तर मिठो गित,
Gita Song,"गित, गाना",
Gitika; Geetika Small Beautiful and Sweet Song,छोटो तर मिठो गित,
Jagdish ,जगदीश,"Originated from Sanskrit it means ""ruler of the world"". Jagat means ""world"" and isha means ""ruler""."
Janila ,जनिला,no meaning yet
Janu ,जानु,"Derived from the Hindu ""Jaan"" means life. So the word Janu is used to refer to someone quite ""dear"". Hence, it means ""my love"" or ""dear"""
Januka ,जानुका,no meaning yet
Jaswin ,जस्विन,Please advise us the meaning of this name!
Jaya ,जया,"In Nepali, it means victory."
Jayakiran Please advise us the meaning of this name.,कृपयायो नामको अर्थ हलिदिनुहोला !,
Jayanti Parvati,शिवजीको श्रीमतीको फेरि अर्को Nickname,
Jeetu ,जीतू,One who is always a winner.
Jenya ,जेन्या,Truth; Original
Jhasna ,"झसना, झास्ना","Clear, BrightAlso: Jasna"
Jiwan ,जीवन,Life; Giving life
Jyostsana ,ज्योसत्सना ,Please advise us the meaning of this name!
Jyotibala Splendour,Creeper को Meaning google गर्नुहोला !,
Jyotsna Moon light,चन्द्र ज्योति,


Nabin ,नबिन,"New, novel; New beginningsAlso: Navin"
Nabina ,नविना,Please advise us the meaning of Nabina.
Nainshikha ,नैनशिखा,See the world with pure eyesAlso: Nainsika
Nainsika ,नैनसिका,See the world with pure eyesAlso: Nainshikha
Nakchhi ,नक्छी,no meaning yet
Nalina ,नलिना,Lotus
Natasha ,नताशा,"Name given to a one who is ""Born on Christmas Day"""
Nehal Rainy; handsome,होइन होला | शयेद Beautiful हुनुपर्छ,
Nehan ,नेहान,One with a beautiful eyes.
Nelina ,"नलिन, नेलिना ","Originate from Greek, it means ""the bright one""."
Nibha ,निभा ,Resembling; Similar; Like
Nicky ,निक्की,Greek goddess of victory 
Niharika Nebula,Nebula को Meaning google गर्नुहोला !,
Nikita ,निकिता,Derived from greek goddess of victory Nike. Means unconquered or winner; Earth; Victorious
Nira ,निरा,Light; Amrit or nectar or pure water; Part of God
Nirjala ,निर्जला,"The meaning of name Nirjala is ""love; peace of water""."
Nirjara ,निर्जरा,Young; Long lasting(कृपयायो नामको अर्थ हलिदिनुहोला !
"Nirmala Clean, virtuous",स्वछ मन वा हर्द्य,
"Nirupa A decree, command",Decree को Meaning google गर्नुहोला !,
Niruta ,निरुता,Please advise us the name of Niruta.
Nirvika ,निर्विका,no meaning yet
Nisha ,निशा,Night
Nishal ,निशाल,no meaning yet
Nitima Girl of principles,नैतिक्ताकी कुमारी,
Nivaj ,निवज,Ray of sun
Norika ,नोरिका,Norika means Story and perfume.
Numa ,नुमा,Beautiful (Limbu bhasa
Nuna ,नुना ,Please advise the meaning of this name(कृपयायो नामको अर्थ हलिदिनुहोला !
Kaayana ,"कायना, कायाणा",Please advise us the meaning of this name!
Kabin ,कबिन,no meaning yet
Kabita ,कविता,A beautiful poem
Kabya ,काब्य,Poetry; Expressing of feelings and idea.Also: Kavya
Kajal Eyeliner,आखामा लगाउने कालो लाली जसले गर्दा आखा झन् ठुलो र राम्री देखिन्छ,
Kalpana ,कल्पना,Beautiful Dream
Kamala ,कमला,Lotus or pale red
Kamana ,कामना,"Wish, Best Wishes"
Kashmira ,कश्मिरा,"Soft cloth, fine cloth made of wool , soft"
Kavini Composes beautiful poems,कविको श्रीमती वा कविता लेख्ने आइमाई,
Kavita A beautiful poem,"सुन्दर,र मिठो कविता",
Kavya ,काव्य,"Poet, Poem"
Kengal ,"केंगल, केन्गल",Please advise us the meaning of this name!
Khagisara ,खगिसरा,no meaning yet
Khuma ,खुमा,no meaning yet
Khushi ,खुशी ,Happiness; The one who always biring happiness
Kiya The cooing of a bird,कुहु कुहु,
Komal ,कोमल,As delicate as flower
Krestina ,क्रेस्तिना,Please advise us the meaning of this name
Kripa Mercy,"दया, माया",
Krishala ,कृशाला,Diamond
Krishma ,करिश्मा,Another name of Lord Krishna
Krishna Gopal ,कृष्ण गोपाल ,Please advise us the meaning of this name!
Krisuna ,कृसुना,no meaning yet
Kriteena ,कृतीना,no meaning yet
Kritika ,कृतिका,"Extremes in fortune, health and spirituality; Name of Star; The plaids"
Kritima ,कृतिमा,no meaning yet
Kritisha ,क्रितिषा,Advise us the meaning of this name.(कृपयायो नामको अर्थ हलिदिनुहोला ! 
Kundan ,कुन्दन,Pure; Purity
Kunti The mother of the Pandavas,पाँच पाण्डबको आमा,
Kushala ,कुशला,"One who is good physically, mentally and emotionally; Skillful; Clever"
Dakshina ,दक्षिणा , A donation to god or priest
Danju ,"दंजु, दन्जु",no meaning yet
